VAR_PDAD,VAR_CAMPO,r,N
MOR_pct_plano_saude,PCT_DEPDIST_moderado,-0.5295,33
DOM_renda_pc_media,PCT_GOV_liberal_conservador,0.529,33
DOM_pct_classe_DE,PCT_DEPDIST_moderado,0.5284,33
MOR_pct_sem_fund,PCT_DEPDIST_moderado,0.524,33
EL_pct_idoso_60+,PCT_SEN_moderado,0.5227,33
MOR_pct_crianca,PCT_GOV_moderado,0.5203,33
MOR_escolaridade_media,PCT_SEN_liberal_conservador,-0.5176,33
MOR_pct_desocupado,PCT_GOV_progressista,-0.5082,33
EL_pct_jovem_1624_x,PCT_GOV_moderado,0.5009,33
MOR_pct_servidor_fed,PCT_DEPDIST_moderado,-0.497,33
DOM_pct_classe_DE,PCT_SEN_liberal_conservador,0.4935,33
DOM_renda_pc_media,PCT_DEPDIST_moderado,-0.4856,33
MOR_pct_plano_saude,PCT_SEN_liberal_conservador,-0.4847,33
EL_pct_feminino,PCT_GOV_liberal_conservador,-0.4826,33
MOR_pct_servidor_total,PCT_DEPDIST_liberal_conservador,0.4814,33
MOR_pct_servidor_dist,PCT_SEN_liberal_conservador,-0.4814,33
EL_pct_sem_fund,PCT_SEN_liberal_conservador,0.4779,33
MOR_pct_crianca,PCT_GOV_progressista,-0.4774,33
DOM_pct_classe_AB,PCT_DEPDIST_moderado,-0.4749,33
EL_pct_idoso_60mais,PCT_GOV_liberal_conservador,0.4734,33
MOR_pct_jovem_pop,PCT_GOV_moderado,0.4709,33
MOR_pct_privado,PCT_SEN_moderado,-0.4695,33
EL_pct_idoso_60mais,PCT_DEPFED_moderado,-0.468,33
MOR_pct_desocupado,PCT_SEN_progressista,-0.4652,33
MOR_pct_crianca,PCT_SEN_progressista,-0.4639,33
MOR_pct_servidor_dist,PCT_DEPFED_moderado,-0.4626,33
MOR_pct_conta_propria,PCT_SEN_moderado,-0.4617,33
EL_pct_sem_fund,PCT_DEPDIST_moderado,0.4608,33
MOR_pct_servidor_total,PCT_SEN_liberal_conservador,-0.4592,33
MOR_pct_crianca,PCT_SEN_liberal_conservador,0.4577,33
MOR_pct_nativo_df,PCT_GOV_moderado,0.4528,33
MOR_pct_migrante,PCT_GOV_moderado,-0.4528,33
MOR_pct_idoso_pop,PCT_DEPFED_progressista,0.4514,33
MOR_pct_desocupado,PCT_DEPDIST_liberal_conservador,-0.4471,33
MOR_pct_idoso_pop,PCT_GOV_moderado,-0.446,33
MOR_pct_beneficio_social,PCT_DEPDIST_moderado,0.4423,33
MOR_pct_crianca,PCT_DEPFED_progressista,-0.4347,33
EL_pct_jovem_1624_y,PCT_DEPFED_liberal_conservador,0.4331,33
MOR_pct_servidor_dist,PCT_GOV_liberal_conservador,0.4302,33
MOR_pct_idoso_pop,PCT_SEN_progressista,0.43,33
EL_pct_jovem_1624_x,PCT_GOV_progressista,-0.4298,33
MOR_pct_idoso_pop,PCT_GOV_progressista,0.4296,33
MOR_pct_migrante,PCT_GOV_liberal_conservador,0.4295,33
MOR_pct_nativo_df,PCT_GOV_liberal_conservador,-0.4295,33
DOM_pct_classe_C,PCT_SEN_liberal_conservador,0.4294,33
EL_pct_jovem_1624_x,PCT_DEPFED_progressista,-0.4257,33
MOR_pct_desocupado,PCT_DEPFED_moderado,0.4253,33
MOR_pct_servidor_dist,PCT_DEPDIST_moderado,-0.4252,33
EL_pct_idoso_60mais,PCT_DEPDIST_moderado,-0.4237,33
EL_pct_idoso_60+,PCT_DEPFED_progressista,0.419,33
MOR_renda_ind_media,PCT_DEPDIST_progressista,0.4114,15
MOR_pct_sem_fund,PCT_SEN_liberal_conservador,0.4086,33
MOR_pct_plano_saude,PCT_DEPDIST_liberal_conservador,0.4084,33
EL_pct_idoso_60mais,PCT_DEPFED_liberal_conservador,-0.408,33
EL_pct_feminino,PCT_SEN_liberal_conservador,-0.4061,33
EL_pct_jovem_1624_y,PCT_DEPDIST_moderado,0.4048,33
EL_pct_idoso_60+,PCT_GOV_moderado,-0.4033,33
MOR_pct_jovem_pop,PCT_GOV_progressista,-0.3999,33
MOR_pct_beneficio_social,PCT_SEN_liberal_conservador,0.3976,33
MOR_pct_jovem_pop,PCT_DEPFED_progressista,-0.3963,33
MOR_pct_ocupado,PCT_DEPDIST_moderado,-0.3897,33
EL_pct_sem_fund,PCT_DEPDIST_liberal_conservador,-0.3896,33
EL_pct_idoso_60+,PCT_GOV_progressista,0.3896,33
MOR_pct_crianca,PCT_SEN_moderado,-0.389,33
MOR_pct_crianca,PCT_DEPDIST_progressista,-0.388,33
EL_pct_idoso_60+,PCT_SEN_progressista,0.3876,33
MOR_pct_beneficio_social,PCT_DEPDIST_liberal_conservador,-0.3834,33
EL_pct_jovem_1624_x,PCT_GOV_liberal_conservador,-0.3794,33
MOR_pct_desocupado,PCT_DEPDIST_moderado,0.3779,33
MOR_pct_idoso_pop,PCT_SEN_liberal_conservador,-0.3776,33
EL_pct_jovem_1624_y,PCT_DEPFED_moderado,0.376,33
DOM_pct_classe_C,PCT_GOV_liberal_conservador,-0.3748,33
EL_pct_jovem_1624_x,PCT_SEN_progressista,-0.3687,33
MOR_pct_superior,PCT_DEPDIST_progressista,0.3676,33
MOR_pct_servidor_fed,PCT_DEPDIST_progressista,0.367,33
MOR_pct_jovem_pop,PCT_GOV_liberal_conservador,-0.3668,33
EL_pct_jovem_1624_x,PCT_SEN_moderado,-0.3667,33
MOR_pct_privado,PCT_SEN_progressista,-0.3664,33
DOM_pct_inseg_alimentar,PCT_DEPDIST_moderado,0.3658,33
DOM_pct_classe_DE,PCT_DEPDIST_liberal_conservador,-0.3645,33
EL_pct_idoso_60mais,PCT_DEPDIST_progressista,0.3622,33
MOR_pct_crianca,PCT_DEPFED_moderado,0.3553,33
MOR_pct_privado,PCT_DEPFED_progressista,-0.3551,33
DOM_pct_classe_AB,PCT_DEPDIST_progressista,0.3547,33
DOM_renda_pc_media,PCT_DEPDIST_progressista,0.3533,33
MOR_pct_jovem_pop,PCT_SEN_moderado,-0.3496,33
MOR_escolaridade_media,PCT_DEPDIST_liberal_conservador,0.349,33
MOR_pct_sem_fund,PCT_DEPDIST_liberal_conservador,-0.3463,33
EL_pct_superior,PCT_DEPDIST_liberal_conservador,0.3452,33
MOR_pct_ocupado,PCT_GOV_moderado,-0.3442,33
EL_pct_jovem_1624_y,PCT_DEPDIST_progressista,-0.3424,33
